"word","file_4_count","file_5_count","file_6_count","word_length","total_count","word_ID","predict_word"
"candidate",527,172,154,9,853,133,"Elizabeth"
"Community",500,122,241,9,863,134,"character"
"classroom",691,51,123,9,865,135,"community"
"confident",707,58,105,9,870,136,"statement"
"Halloween",567,14,289,9,870,137,"Challenge"
"determine",707,85,81,9,873,138,"otherwise"
"typically",727,92,60,9,879,139,"struggles"
"traveling",647,54,179,9,880,140,"something"
"awareness",718,40,139,9,897,141,"spiritual"
"attending",613,40,247,9,900,142,"Christian"
"represent",713,63,125,9,901,143,"something"
"emergency",694,112,98,9,904,144,"situation"
"neighbors",629,61,235,9,925,145,"regarding"
"organized",786,47,97,9,930,146,"religious"
"agreement",707,140,86,9,933,147,"countries"
"naturally",824,19,90,9,933,148,"beautiful"
"furniture",742,46,147,9,935,149,"something"
"Meanwhile",822,81,41,9,944,150,"attention"
"screaming",718,19,211,9,948,151,"something"
"Australia",828,17,104,9,949,152,"including"
"sentiment",900,15,52,9,967,153,"according"
"favorites",683,33,253,9,969,154,"character"
"delivered",768,61,141,9,970,155,"something"
"depending",830,57,84,9,971,156,"character"
"featuring",693,59,224,9,976,157,"brilliant"
"searching",771,42,164,9,977,158,"searching"
"Challenge",840,13,129,9,982,159,"something"
"Cleveland",242,444,297,9,983,160,"President"
"corporate",763,90,133,9,986,161,"interests"
"materials",842,60,92,9,994,162,"including"
"dedicated",798,43,157,9,998,163,"resources"
"Hollywood",616,77,310,9,1003,164,"continues"
"expecting",789,33,185,9,1007,165,"something"
"finishing",725,46,239,9,1010,166,"something"
"equipment",830,93,90,9,1013,167,"available"
"scheduled",652,185,184,9,1021,168,"interview"
"Francisco",577,231,219,9,1027,169,"including"
"residents",646,287,97,9,1030,170,"including"
"convinced",860,37,145,9,1042,171,"ourselves"
"regularly",894,53,96,9,1043,172,"scheduled"
"authority",910,87,51,9,1048,173,"including"
"standards",809,94,148,9,1051,174,"sometimes"
"essential",915,40,108,9,1063,175,"community"
"impressed",756,43,267,9,1066,176,"character"
"tradition",927,53,86,9,1066,177,"something"
"providing",901,83,100,9,1084,178,"something"
"buildings",924,102,64,9,1090,179,"including"
"recording",751,46,294,9,1091,180,"equipment"
"increased",881,150,65,9,1096,181,"knowledge"
"hilarious",547,10,554,9,1111,182,"offensive"
"newspaper",941,92,80,9,1113,183,"publisher"
"carefully",1033,30,51,9,1114,184,"following"
"structure",1009,56,68,9,1133,185,"described"
"existence",1051,22,74,9,1147,186,"somewhere"
"connected",893,51,209,9,1153,187,"sometimes"
"reference",888,28,239,9,1155,188,"materials"
"recognize",952,43,162,9,1157,189,"something"
"purchased",1023,53,93,9,1169,190,"yesterday"
"selection",924,85,160,9,1169,191,"presented"
"suffering",1033,57,96,9,1186,192,"continues"
"encourage",1004,70,118,9,1192,193,"customers"
"committed",957,127,127,9,1211,194,"spiritual"
"forgotten",1049,8,170,9,1227,195,"something"
"explained",1146,70,43,9,1259,196,"pregnancy"
"regarding",1065,50,151,9,1266,197,"something"
"presented",1078,86,103,9,1267,198,"including"
"condition",1088,102,80,9,1270,199,"including"
"adventure",1064,20,193,9,1277,200,"involving"
"remaining",1134,115,68,9,1317,201,"generally"
"completed",1104,93,122,9,1319,202,"something"
"Something",936,11,376,9,1323,203,"something"
"boyfriend",759,28,537,9,1324,204,"Sometimes"
"happiness",902,14,409,9,1325,205,"something"
"dangerous",1068,77,191,9,1336,206,"territory"
"employees",889,269,179,9,1337,207,"including"
"childhood",1171,49,137,9,1357,208,"favorites"
"brilliant",1083,21,254,9,1358,209,"marketing"
"suggested",1193,91,77,9,1361,210,"yesterday"
"influence",1176,53,134,9,1363,211,"decisions"
"advantage",1057,111,223,9,1391,212,"confirmed"
"interests",1254,60,82,9,1396,213,"something"
"Hopefully",723,13,673,9,1409,214,"something"
"developed",1293,86,78,9,1457,215,"countries"
"insurance",1096,185,189,9,1470,216,"companies"
"treatment",1244,128,103,9,1475,217,"increased"
"effective",1212,84,211,9,1507,218,"treatment"
"described",1354,114,61,9,1529,219,"character"
"resources",1257,102,187,9,1546,220,"available"
"officials",837,644,85,9,1566,221,"including"
"spiritual",1476,8,87,9,1571,222,"practices"
"thousands",1367,150,103,9,1620,223,"including"
"September",1313,111,207,9,1631,224,"reporting"
"continues",1285,108,251,9,1644,225,"sometimes"
"everybody",815,84,746,9,1645,226,"including"
"apartment",1271,94,284,9,1649,227,"buildings"
"religious",1486,78,96,9,1660,228,"community"
"expensive",1343,87,246,9,1676,229,"Starbucks"
"announced",1143,246,291,9,1680,230,"yesterday"
"decisions",1278,123,284,9,1685,231,"decisions"
"customers",1114,218,378,9,1710,232,"employees"
"emotional",1444,69,201,9,1714,233,"responses"
"concerned",1456,120,172,9,1748,234,"primarily"
"According",1479,155,169,9,1803,235,"character"
"recommend",1416,29,372,9,1817,236,"something"
"marketing",1198,89,534,9,1821,237,"materials"
"otherwise",1555,58,214,9,1827,238,"forgotten"
"generally",1656,63,116,9,1835,239,"available"
"perfectly",1639,35,167,9,1841,240,"satisfied"
"therefore",1714,20,110,9,1844,241,"something"
"Americans",1371,187,300,9,1858,242,"sometimes"
"basically",1559,45,272,9,1876,243,"explained"
"president",1105,566,217,9,1888,244,"including"
"wondering",1381,35,509,9,1925,245,"character"
"statement",1495,311,233,9,2039,246,"regarding"
"financial",1600,307,157,9,2064,247,"situation"
"direction",1634,94,349,9,2077,248,"sensitive"
"obviously",1664,50,373,9,2087,249,"something"
"celebrate",1357,52,695,9,2104,250,"Christmas"
"continued",1857,144,114,9,2115,251,"existence"
"hopefully",1455,26,639,9,2120,252,"something"
"literally",1635,31,465,9,2131,253,"thousands"
"countries",1913,98,121,9,2132,254,"including"
"excellent",1602,64,488,9,2154,255,"condition"
"extremely",1893,62,223,9,2178,256,"difficult"
"happening",1669,53,568,9,2290,257,"character"
"breakfast",1484,42,790,9,2316,258,"confusion"
"surprised",1818,65,477,9,2360,259,"impressed"
"necessary",2033,115,240,9,2388,260,"condition"
"Christian",2081,85,224,9,2390,261,"community"
"interview",1383,178,864,9,2425,262,"questions"
"fantastic",1663,27,782,9,2472,263,"selection"
"potential",1947,217,344,9,2508,264,"customers"
"published",2331,88,107,9,2526,265,"character"
"somewhere",2037,56,441,9,2534,266,"different"
"companies",1870,402,291,9,2563,267,"including"
"delicious",1875,32,657,9,2564,268,"breakfast"
"knowledge",2234,55,334,9,2623,269,"including"
"currently",2120,124,422,9,2666,270,"available"
"ourselves",2360,67,280,9,2707,271,"something"
"education",2022,232,477,9,2731,272,"community"
"mentioned",2440,53,269,9,2762,273,"something"
"President",2068,299,471,9,2838,274,"Christian"
"listening",1528,36,1278,9,2842,275,"carefully"
"Wednesday",1679,431,867,9,2977,276,"afternoon"
"seriously",1893,64,1116,9,3073,277,"wondering"
"followers",826,14,2307,9,3147,278,"something"
"Sometimes",2225,46,889,9,3160,279,"something"
"according",2371,698,232,9,3301,280,"according"
"afternoon",2271,177,918,9,3366,281,"exploring"
"situation",2906,172,360,9,3438,282,"something"
"chocolate",2759,62,651,9,3472,283,"chocolate"
"beginning",3202,139,438,9,3779,284,"September"
"certainly",3411,135,291,9,3837,285,"recommend"
"political",3276,350,283,9,3909,286,"interests"
"difficult",3692,203,361,9,4256,287,"situation"
"attention",3554,209,566,9,4329,288,"something"
"questions",3646,227,897,9,4770,289,"regarding"
"yesterday",2956,73,1912,9,4941,290,"afternoon"
"character",4484,130,404,9,5018,291,"structure"
"challenge",4565,159,354,9,5078,292,"ourselves"
"community",3843,429,812,9,5084,293,"newspaper"
"available",4227,301,1001,9,5529,294,"including"
"Christmas",4751,98,1190,9,6039,295,"Challenge"
"sometimes",5060,180,1069,9,6309,296,"difficult"
"including",5359,895,468,9,6722,297,"increased"
"wonderful",5175,67,1496,9,6738,298,"Christmas"
"following",3982,193,3124,9,7299,299,"questions"
"important",6904,360,1125,9,8389,300,"questions"
"beautiful",6179,93,2983,9,9255,301,"creations"
"different",12584,456,1539,9,14579,302,"countries"
"something",22214,643,5254,9,28111,303,"different"
"viewing",393,16,93,7,502,805,NA
"glitter",440,9,54,7,503,806,NA
"tragedy",409,24,70,7,503,807,NA
"bizarre",434,12,59,7,505,808,"questions"
"Rangers",228,44,233,7,505,809,NA
"wonders",414,12,80,7,506,810,"including"
"anxious",421,9,77,7,507,811,NA
"warming",409,27,71,7,507,812,"questions"
"essence",462,10,36,7,508,813,NA
"garbage",358,18,132,7,508,814,NA
"halfway",405,24,79,7,508,815,NA
"happier",374,7,127,7,508,816,"Chocolate"
"Digital",302,13,195,7,510,817,NA
"offices",349,65,96,7,510,818,"including"
"pumpkin",408,15,88,7,511,819,NA
"battery",331,26,160,7,517,820,"questions"
"massage",298,15,206,7,519,821,"technique"
"reveals",471,18,31,7,520,822,"something"
"trading",350,63,107,7,520,823,"Meanwhile"
"conduct",411,79,33,7,523,824,"questions"
"shelter",414,38,71,7,523,825,"available"
"studied",444,30,49,7,523,826,NA
"Holiday",265,9,250,7,524,827,NA
"persons",462,13,50,7,525,828,"questions"
"spotted",427,37,61,7,525,829,NA
"couples",384,44,98,7,526,830,NA
"divorce",424,34,68,7,526,831,"intention"
"goodbye",362,7,158,7,527,832,"questions"
"diverse",434,35,59,7,528,833,"selection"
"lighter",445,18,65,7,528,834,NA
"western",450,32,46,7,528,835,NA
"formula",451,26,52,7,529,836,"generally"
"Stewart",391,57,81,7,529,837,NA
"relaxed",462,17,51,7,530,838,NA
"costume",383,18,133,7,534,839,NA
"virtual",392,18,124,7,534,840,"education"
"artwork",452,21,62,7,535,841,NA
"muscles",435,16,84,7,535,842,NA
"roasted",428,39,69,7,536,843,NA
"fitness",333,24,181,7,538,844,"questions"
"radical",470,23,45,7,538,845,"education"
"corners",483,20,36,7,539,846,NA
"desires",487,8,44,7,539,847,NA
"Academy",354,80,106,7,540,848,"questions"
"payment",433,55,52,7,540,849,NA
"Journal",433,40,69,7,542,850,NA
"publish",466,15,61,7,542,851,"community"
"Orleans",296,60,187,7,543,852,"developed"
"existed",471,13,61,7,545,853,NA
"involve",447,30,68,7,545,854,"different"
"spirits",462,12,71,7,545,855,"according"
"courses",403,52,91,7,546,856,"questions"
"founded",445,62,41,7,548,857,NA
"revenue",306,171,71,7,548,858,NA
"honored",286,50,213,7,549,859,NA
"savings",370,66,113,7,549,860,"questions"
"decline",452,69,30,7,551,861,NA
"cheaper",424,23,107,7,554,862,"delivered"
"Network",317,32,205,7,554,863,"marketing"
"fitting",471,12,72,7,555,864,"questions"
"Lincoln",303,53,202,7,558,865,NA
"travels",345,19,194,7,558,866,NA
"briefly",465,53,41,7,559,867,"yesterday"
"venture",448,42,70,7,560,868,"questions"
"failing",416,52,93,7,561,869,NA
"grounds",485,29,48,7,562,870,NA
"knocked",387,42,133,7,562,871,NA
"assumed",492,17,56,7,565,872,"questions"
"blowing",389,19,157,7,565,873,NA
"exhibit",334,46,185,7,565,874,"permanent"
"Overall",504,29,32,7,565,875,"Chocolate"
"cleaned",461,9,99,7,569,876,"yesterday"
"shelves",516,15,39,7,570,877,NA
"ceiling",451,41,81,7,573,878,NA
"Several",468,58,47,7,573,879,"buildings"
"samples",441,15,118,7,574,880,"contained"
"Program",414,31,130,7,575,881,"Committee"
"teenage",490,33,53,7,576,882,"daughters"
"graphic",455,17,105,7,577,883,"designers"
"monster",434,6,138,7,578,884,"struggled"
"speaker",340,45,194,7,579,885,"mentioned"
"delight",519,14,47,7,580,886,"listening"
"roughly",477,70,33,7,580,887,NA
"washing",508,6,67,7,581,888,"questions"
"quietly",513,28,41,7,582,889,"forgotten"
"packing",400,8,175,7,583,890,"materials"
"passage",541,19,23,7,583,891,NA
"circles",518,11,56,7,585,892,"naturally"
"kicking",377,12,196,7,585,893,NA
"Phoenix",275,148,162,7,585,894,"continued"
"Usually",491,11,83,7,585,895,"traveling"
"injured",400,99,87,7,586,896,"boyfriend"
"planted",528,20,40,7,588,897,NA
"hardest",406,21,163,7,590,898,NA
"Country",389,44,159,7,592,899,NA
"farmers",489,42,61,7,592,900,"returning"
"Indiana",283,74,235,7,592,901,NA
"Islamic",563,23,6,7,592,902,"tradition"
"gallery",473,31,89,7,593,903,"dedicated"
"protest",458,45,90,7,593,904,"questions"
"genuine",528,15,51,7,594,905,"criticism"
"Patrick",361,72,161,7,594,906,NA
"someday",370,17,207,7,594,907,NA
"desired",544,26,25,7,595,908,"questions"
"brewery",551,15,31,7,597,909,"describes"
"Madison",205,44,349,7,598,910,"Wisconsin"
"veggies",489,6,103,7,598,911,NA
"decides",508,18,73,7,599,912,"questions"
"blanket",514,17,69,7,600,913,"character"
"compete",411,75,114,7,600,914,NA
"ongoing",500,61,39,7,600,915,"challenge"
"tension",552,15,33,7,600,916,"questions"
"protein",458,53,90,7,601,917,NA
"Pacific",429,83,92,7,604,918,NA
"scratch",469,19,116,7,604,919,"including"
"secrets",488,14,104,7,606,920,"including"
"stuffed",482,42,82,7,606,921,NA
"arrival",516,30,61,7,607,922,"certainly"
"Chicken",389,6,213,7,608,923,"different"
"Supreme",456,94,58,7,608,924,"questions"
"absence",502,40,67,7,609,925,NA
"Federal",485,76,49,7,610,926,"financial"
"Eastern",450,70,91,7,611,927,"tradition"
"retired",439,97,76,7,612,928,"marketing"
"liberal",516,31,66,7,613,929,"democracy"
"experts",447,95,72,7,614,930,NA
"ignored",523,33,59,7,615,931,NA
"emotion",536,20,63,7,619,932,"questions"
"outdoor",440,57,123,7,620,933,"furniture"
"collect",503,47,73,7,623,934,"insurance"
"fishing",477,55,93,7,625,935,"community"
"brewing",552,11,65,7,628,936,"operation"
"illness",533,40,57,7,630,937,"treatment"
"devices",478,57,96,7,631,938,NA
"visible",548,29,54,7,631,939,"operating"
"closest",539,26,68,7,633,940,"followers"
"compare",490,28,116,7,634,941,"everybody"
"tweeted",131,27,478,7,636,942,"yesterday"
"Georgia",437,50,150,7,637,943,NA
"hunting",527,20,94,7,641,944,"providing"
"leather",561,22,58,7,641,945,"executive"
"feeding",563,14,67,7,644,946,NA
"insight",516,11,119,7,646,947,NA
"drivers",406,89,155,7,650,948,"questions"
"adopted",550,48,53,7,651,949,NA
"succeed",429,30,192,7,651,950,NA
"offense",267,152,235,7,654,951,NA
"Captain",534,23,99,7,656,952,"questions"
"buttons",588,10,59,7,657,953,NA
"beneath",591,25,42,7,658,954,"perfectly"
"breathe",463,15,182,7,660,955,NA
"instant",544,23,97,7,664,956,"sometimes"
"jumping",500,29,136,7,665,957,NA
"trailer",488,14,163,7,665,958,"according"
"nations",606,27,33,7,666,959,"including"
"coconut",576,10,81,7,667,960,"therefore"
"Imagine",554,13,100,7,667,961,NA
"handful",571,48,54,7,673,962,NA
"defined",599,21,55,7,675,963,NA
"Anthony",351,110,215,7,676,964,"questions"
"greatly",555,18,105,7,678,965,"enjoyable"
"outcome",567,25,87,7,679,966,NA
"factors",588,52,43,7,683,967,"According"
"climate",579,46,59,7,684,968,"questions"
"Writing",476,7,202,7,685,969,"therefore"
"council",473,144,69,7,686,970,"officials"
"anytime",367,19,303,7,689,971,"including"
"jewelry",538,35,116,7,689,972,"sometimes"
"monthly",538,58,93,7,689,973,"challenge"
"capture",606,29,58,7,693,974,"something"
"pretend",529,10,156,7,695,975,NA
"license",447,83,166,7,696,976,"questions"
"Muslims",671,11,15,7,697,977,NA
"poverty",573,41,84,7,698,978,NA
"demands",622,30,48,7,700,979,"sacrifice"
"anxiety",606,18,81,7,705,980,"questions"
"heavily",595,56,55,7,706,981,NA
"Russian",593,39,74,7,706,982,"direction"
"methods",641,23,44,7,708,983,"including"
"Justice",507,99,103,7,709,984,"committee"
"Stephen",502,67,140,7,709,985,NA
"lightly",649,35,27,7,711,986,"sometimes"
"theater",441,89,181,7,711,987,"companies"
"happily",631,10,72,7,713,988,"available"
"journal",626,18,69,7,713,989,"including"
"weapons",603,59,51,7,713,990,"materials"
"beloved",630,28,56,7,714,991,NA
"inspire",505,18,192,7,715,992,"questions"
"Science",526,41,150,7,717,993,NA
"charity",536,30,152,7,718,994,"typically"
"returns",517,80,121,7,718,995,"gathering"
"signing",407,51,260,7,718,996,"questions"
"beating",520,58,142,7,720,997,NA
"exposed",642,41,38,7,721,998,NA
"Luckily",639,6,76,7,721,999,NA
"objects",625,20,76,7,721,1000,"questions"
"minimum",592,58,72,7,722,1001,"necessary"
"Charlie",510,31,182,7,723,1002,NA
"updated",470,15,239,7,724,1003,"regularly"
"Detroit",246,186,293,7,725,1004,"questions"
"suicide",569,44,112,7,725,1005,"committed"
"trained",614,43,68,7,725,1006,"ourselves"
"amounts",634,40,54,7,728,1007,NA
"worries",401,26,302,7,729,1008,"questions"
"enemies",630,17,83,7,730,1009,NA
"nuclear",614,74,42,7,730,1010,"materials"
"accused",540,131,61,7,732,1011,NA
"tasting",494,45,194,7,733,1012,"questions"
"contain",615,43,77,7,735,1013,"ourselves"
"Besides",594,38,105,7,737,1014,"suffering"
"dresses",600,26,111,7,737,1015,"locations"
"beliefs",668,21,49,7,738,1016,"education"
"Through",623,34,81,7,738,1017,"Education"
"YouTube",416,25,298,7,739,1018,"community"
"therapy",583,45,112,7,740,1019,"following"
"staring",582,7,152,7,741,1020,"everybody"
"Matthew",578,44,126,7,748,1021,NA
"shortly",514,67,168,7,749,1022,NA
"stepped",619,55,75,7,749,1023,NA
"touched",622,31,98,7,751,1024,"questions"
"reduced",644,63,51,7,758,1025,NA
"shocked",581,30,150,7,761,1026,NA
"praying",589,6,169,7,764,1027,NA
"channel",435,23,307,7,765,1028,"questions"
"closely",657,54,54,7,765,1029,"following"
"depends",508,25,234,7,767,1030,NA
"grabbed",690,32,47,7,769,1031,NA
"elected",558,136,76,7,770,1032,"officials"
"smoking",521,41,208,7,770,1033,NA
"Perfect",403,6,362,7,771,1034,NA
"smiling",540,22,209,7,771,1035,NA
"witness",623,63,85,7,771,1036,"something"
"Company",605,32,135,7,772,1037,"employees"
"endless",681,15,76,7,772,1038,"questions"
"Arizona",392,224,157,7,773,1039,"perfectly"
"flavors",607,64,104,7,775,1040,"questions"
"engaged",627,43,109,7,779,1041,"elsewhere"
"entries",725,13,44,7,782,1042,"including"
"embrace",637,31,115,7,783,1043,NA
"storage",652,28,103,7,783,1044,"solutions"
"besides",594,14,176,7,784,1045,"including"
"Atlanta",317,87,381,7,785,1046,"yesterday"
"forgive",602,10,177,7,789,1047,NA
"Friends",430,28,336,7,794,1048,"questions"
"Mexican",513,67,216,7,796,1049,"chocolate"
"element",722,30,48,7,800,1050,"something"
"Ireland",705,21,74,7,800,1051,"including"
"organic",670,42,89,7,801,1052,"materials"
"courage",602,18,183,7,803,1053,NA
"nowhere",630,30,144,7,804,1054,"therefore"
"Service",478,111,215,7,804,1055,"Committee"
"creates",687,37,81,7,805,1056,"something"
"edition",667,19,125,7,811,1057,NA
"sounded",650,24,142,7,816,1058,"perfectly"
"species",733,35,49,7,817,1059,"including"
"destroy",705,18,95,7,818,1060,"questions"
"combine",704,61,55,7,820,1061,"different"
"raising",627,89,104,7,820,1062,"awareness"
"reflect",716,41,63,7,820,1063,NA
"hosting",439,24,359,7,822,1064,"questions"
"causing",721,42,60,7,823,1065,"political"
"Project",577,41,207,7,825,1066,"including"
"granted",684,43,99,7,826,1067,NA
"texture",765,32,30,7,827,1068,"questions"
"editing",598,9,222,7,829,1069,NA
"seasons",552,144,133,7,829,1070,NA
"dessert",693,40,97,7,830,1071,NA
"refused",735,71,29,7,835,1072,"questions"
"opposed",707,70,59,7,836,1073,"including"
"History",530,20,288,7,838,1074,NA
"Library",409,56,373,7,838,1075,"community"
"violent",712,58,74,7,844,1076,"encounter"
"burning",652,45,149,7,846,1077,"buildings"
"healing",758,15,75,7,848,1078,"Sometimes"
"painful",673,22,154,7,849,1079,"something"
"kidding",350,11,490,7,851,1080,"questions"
"prayers",583,11,264,7,858,1081,NA
"claimed",738,80,45,7,863,1082,NA
"Society",662,72,130,7,864,1083,NA
"largely",756,95,14,7,865,1084,"forgotten"
"magical",735,11,119,7,865,1085,"resources"
"warning",681,54,132,7,867,1086,"consumers"
"anybody",510,77,282,7,869,1087,"Sometimes"
"unknown",735,37,97,7,869,1088,"creatures"
"stamped",861,8,6,7,875,1089,"sentiment"
"chopped",797,29,51,7,877,1090,"chocolate"
"deliver",645,51,181,7,877,1091,"criticism"
"Britain",837,24,17,7,878,1092,"currently"
"markets",692,92,95,7,879,1093,"worldwide"
"portion",758,59,64,7,881,1094,NA
"replied",750,31,105,7,886,1095,NA
"charges",592,223,75,7,890,1096,"questions"
"vanilla",821,15,59,7,895,1097,"chocolate"
"unusual",768,76,52,7,896,1098,"breakfast"
"victims",731,94,73,7,898,1099,"including"
"worship",787,6,108,7,901,1100,"yesterday"
"aspects",853,17,32,7,902,1101,"including"
"closing",584,76,242,7,902,1102,"statement"
"printed",804,13,86,7,903,1103,"somewhere"
"laughed",756,14,134,7,904,1104,"questions"
"illegal",678,122,105,7,905,1105,"according"
"winners",660,43,202,7,905,1106,"correctly"
"housing",692,133,81,7,906,1107,"situation"
"settled",789,46,71,7,906,1108,"community"
"doctors",717,109,85,7,911,1109,NA
"attacks",767,96,55,7,918,1110,NA
"Whether",822,30,66,7,918,1111,"something"
"capital",730,106,86,7,922,1112,"resources"
"promote",680,52,191,7,923,1113,"community"
"testing",655,72,200,7,927,1114,"wonderful"
"Special",450,39,439,7,928,1115,"occasions"
"capable",809,38,86,7,933,1116,"candidate"
"funding",595,166,172,7,933,1117,"situation"
"pulling",763,23,147,7,933,1118,"something"
"silence",768,21,145,7,934,1119,"Americans"
"stretch",721,85,128,7,934,1120,"questions"
"equally",838,31,73,7,942,1121,"important"
"vehicle",701,153,89,7,943,1122,"insurance"
"express",803,25,118,7,946,1123,"something"
"Houston",360,76,511,7,947,1124,"questions"
"sisters",758,29,162,7,949,1125,"daughters"
"applied",828,34,89,7,951,1126,NA
"joining",608,34,316,7,958,1127,NA
